iter	Passed	Remaining
0	764	167440
1	1668	181883
2	2531	183089
3	3336	180167
4	4206	180885
5	5011	178735
6	5843	177800
7	6715	177948
8	7608	178378
9	8391	176218
10	9184	174514
11	10232	177363
12	11099	176730
13	12203	179571
14	12997	177627
15	13860	176720
16	14686	175375
17	15702	176217
18	16565	175247
19	17348	173481
20	18119	171703
21	18924	170317
22	19829	169840
23	20738	169362
24	21545	168054
25	22330	166619
26	23124	165295
27	24073	165073
28	24844	163631
29	25708	162820
30	26491	161510
31	27273	160231
32	28133	159425
33	28905	158128
34	29769	157351
35	30562	156209
36	31545	156020
37	32545	155877
38	33328	154677
39	34121	153548
40	34963	152647
41	35890	152107
42	36728	151183
43	37532	150129
44	38341	149107
45	39293	148632
46	40109	147636
47	40902	146568
48	41696	145513
49	42619	144907
50	43457	144005
51	44342	143259
52	45146	142255
53	45942	141231
54	46814	140443
55	47607	139423
56	48446	138539
57	49309	137727
58	50092	136693
59	50908	135755
60	51757	134908
61	52550	133920
62	53483	133283
63	54321	132408
64	55092	131375
65	55875	130376
66	56657	129382
67	57429	128371
68	58409	127822
69	59258	126981
70	60096	126117
71	60901	125185
72	61694	124235
73	62634	123575
74	63439	122648
75	64312	121855
76	65095	120891
77	66100	120335
78	66915	119432
79	67813	118672
80	68651	117808
81	69538	117027
82	70398	116200
83	71203	115282
84	72056	114442
85	73427	114409
86	74843	114415
87	76136	114204
88	77412	113944
89	78904	113973
90	80387	113956
91	81461	113337
92	82732	112978
93	83872	112424
94	84856	111653
95	85930	110993
96	87145	110504
97	88163	109755
98	88957	108725
99	89773	107727
100	90770	106947
101	91757	106150
102	92806	105420
103	93677	104486
104	94626	103638
105	95431	102633
106	96328	101729
107	97166	100765
108	97973	99771
109	98878	98878
110	99660	97864
111	100456	96869
112	101310	95931
113	102261	95085
114	103111	94145
115	103927	93176
116	104720	92190
117	105586	91270
118	106514	90402
119	107307	89422
120	108181	88511
121	108963	87528
122	109885	86657
123	110765	85754
124	111570	84793
125	112397	83851
126	113179	82879
127	114187	82072
128	115061	81167
129	115882	80226
130	116722	79300
131	117758	78505
132	118585	77570
133	119427	76647
134	120210	75688
135	121004	74737
136	121886	73843
137	122702	72910
138	123496	71965
139	124373	71070
140	125189	70141
141	125982	69201
142	126804	68279
143	127630	67360
144	128505	66468
145	129277	65524
146	130108	64611
147	131046	63752
148	131900	62852
149	132683	61918
150	133546	61024
151	134384	60119
152	135322	59258
153	136104	58330
154	136876	57399
155	137680	56484
156	138522	55585
157	139382	54694
158	140298	53825
159	141150	52931
160	141959	52022
161	142890	51158
162	143672	50241
163	144455	49326
164	145226	48408
165	146008	47496
166	147113	46688
167	147965	45798
168	148802	44905
169	149596	43998
170	150456	43113
171	151250	42209
172	152130	41330
173	152912	40425
174	153930	39582
175	154824	38706
176	155628	37808
177	156722	36979
178	158585	36324
179	160403	35645
180	162125	34933
181	164082	34259
182	165056	33372
183	165920	32462
184	166713	31540
185	167530	30623
186	168312	29702
187	169150	28791
188	169968	27878
189	170821	26971
190	171659	26063
191	172487	25154
192	173290	24242
193	174128	23336
194	175024	22439
195	175887	21537
196	176747	20635
197	177565	19729
198	178462	18832
199	179255	17925
200	180162	17030
201	181122	16139
202	181915	15234
203	182720	14331
204	183514	13427
205	184296	12525
206	185126	11626
207	186055	10733
208	186848	9834
209	187698	8938
210	188491	8039
211	189410	7147
212	190215	6251
213	191047	5356
214	191896	4462
215	192703	3568
216	193541	2675
217	194405	1783
218	195248	891
219	196020	0
