iter	Passed	Remaining
0	91	91668
1	117	58407
2	138	45922
3	161	40301
4	182	36393
5	199	33096
6	227	32213
7	250	31070
8	274	30267
9	302	29931
10	331	29807
11	357	29446
12	383	29085
13	402	28379
14	424	27863
15	451	27774
16	470	27231
17	493	26913
18	520	26894
19	545	26725
20	572	26697
21	593	26389
22	613	26041
23	629	25596
24	648	25307
25	669	25072
26	690	24871
27	707	24557
28	726	24341
29	746	24127
30	763	23851
31	782	23676
32	799	23435
33	816	23211
34	837	23079
35	858	22981
36	882	22959
37	904	22899
38	927	22863
39	948	22771
40	969	22665
41	989	22567
42	1006	22404
43	1024	22261
44	1044	22171
45	1064	22081
46	1080	21917
47	1103	21880
48	1119	21728
49	1139	21650
50	1154	21486
51	1171	21356
52	1188	21233
53	1208	21173
54	1220	20977
55	1240	20906
56	1254	20753
57	1276	20731
58	1289	20565
59	1308	20504
60	1328	20453
61	1345	20350
62	1364	20294
63	1384	20251
64	1398	20122
65	1418	20080
66	1441	20072
67	1458	19996
68	1473	19887
69	1490	19808
70	1514	19812
71	1539	19841
72	1564	19860
73	1589	19891
74	1614	19908
75	1631	19833
76	1647	19749
77	1672	19769
78	1691	19718
79	1712	19692
80	1732	19660
81	1752	19614
82	1776	19625
83	1799	19625
84	1820	19598
85	1838	19540
86	1857	19497
87	1871	19400
88	1888	19331
89	1910	19312
90	1926	19245
91	1944	19189
92	1964	19158
93	1978	19074
94	1999	19046
95	2018	19007
96	2037	18972
97	2054	18913
98	2071	18856
99	2088	18796
100	2108	18769
101	2122	18688
102	2142	18661
103	2164	18647
104	2181	18591
105	2200	18559
106	2220	18527
107	2237	18478
108	2257	18455
109	2278	18439
110	2298	18407
111	2318	18381
112	2337	18349
113	2357	18321
114	2370	18245
115	2384	18174
116	2404	18150
117	2424	18124
118	2438	18054
119	2458	18026
120	2477	17998
121	2492	17934
122	2509	17894
123	2528	17866
124	2549	17843
125	2568	17818
126	2588	17791
127	2605	17747
128	2624	17723
129	2642	17682
130	2658	17637
131	2674	17585
132	2692	17549
133	2711	17525
134	2728	17485
135	2746	17448
136	2755	17356
137	2769	17297
138	2786	17259
139	2801	17206
140	2817	17167
141	2838	17150
142	2855	17110
143	2872	17072
144	2885	17015
145	2902	16979
146	2917	16929
147	2931	16877
148	2948	16841
149	2968	16822
150	2985	16783
151	3004	16762
152	3024	16741
153	3035	16674
154	3053	16646
155	3073	16627
156	3096	16625
157	3117	16614
158	3139	16604
159	3161	16599
160	3182	16583
161	3194	16526
162	3213	16503
163	3235	16492
164	3258	16487
165	3272	16440
